FECHA INICIO;FECHA TERMINO;CONCEPTO;LINE;KEY Equipment;UNIDAD;CONSUMO;ID;ID Unico;ID FABRICACION
1/04/2024;7/04/2024;GAS;PMD;TOTAL PMD;[m3];4291,22259;279;279.5;TOTAL PMD
1/04/2024;7/04/2024;AGUA;PMD;Admoist;[m3];24,09884133;231;231.2;HxD VENA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Agua caliente Primario;[m3];40;292;292.2;TOTAL PMD
1/04/2024;7/04/2024;AGUA;PMD;DCCC;[m3];3,147183016;201;201.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;FIBEX;[m3];2,972570602;202;202.2;
1/04/2024;7/04/2024;AGUA;PMD;HxD Lamina Control Spray;[m3];3,786778511;269;269.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;HxD Lamina Dummy Load;[m3];5,306583872;270;270.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;HxD Vena Control;[m3];0,068440203;271;271.2;HxD VENA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;HxD Vena Dummy Load;[m3];0,995538058;272;272.2;HxD VENA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Lavado Admoist;[m3];0,539;274;274.2;HxD VENA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Lavado DCCC;[m3];0;320;320.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Lavado Fibex;[m3];1,047;275;275.2;Fibex
1/04/2024;7/04/2024;AGUA;PMD;Lavado HxD Lamina;[m3];9;321;321.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Lavado RCC;[m3];2;322;322.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Lavado sala Casing;[m3];1,375;276;276.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;RCC;[m3];0,876330288;277;277.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;AGUA;PMD;Sala Casing;[m3];2,500880165;278;278.2;HxD LAMINA (pre-secado)
1/04/2024;7/04/2024;A. COMPRIMIDO;FOCKE;C25;[m3];0;25;25.1;GRUPO 25
1/04/2024;7/04/2024;A. COMPRIMIDO;GD;C26;[m3];0;26;26.1;GRUPO 26
1/04/2024;7/04/2024;A. COMPRIMIDO;GD;C32;[m3];3997,509178;32;32.1;GRUPO 32
1/04/2024;7/04/2024;A. COMPRIMIDO;FOCKE;C33;[m3];9273,494222;33;33.1;GRUPO 33
1/04/2024;7/04/2024;A. COMPRIMIDO;GD;C58;[m3];0;58;58.1;GRUPO 58
1/04/2024;7/04/2024;A. COMPRIMIDO;GD;C61;[m3];10317,4823;61;61.1;GRUPO 61
